772,850,2400,5100,,772,850,2400,5100,,772,850,2400,5100
-64.67,-76.48,-90.54,-97.81,,-74.29,-69.55,-70.44,-88.26,,-69,-68.59,-77.24,-86.64
-65.98,-80.8,-87.4,-91.87,,-80.35,-74.77,-71.01,-97.09,,-68.53,-68.27,-74.17,-96.31
-65.45,-80,-93.52,-93.83,,-82.96,-85.4,-70.24,-94.93,,-69.17,-68.14,-74.12,-92.12
-63.83,-78.87,-94.15,-92.3,,-73.67,-73.14,-71.55,-90.96,,-70.22,-70.21,-77.12,-86.65
-64.91,-73.59,-89.75,-90.43,,-71.39,-78.26,-74.35,-96.61,,-69.41,-67.08,-77.79,-86.64
-66.4,-75.22,-92.46,-95.17,,-72.73,-76.11,-70.32,-91.16,,-69.37,-66.31,-80.94,-91.12
-65.55,-74.27,-97.43,-94.31,,-71.09,-72.52,-74.26,-88.69,,-71.35,-69.52,-77.18,-87.13
-66.17,-74.67,-90.8,-98.31,,-69.59,-72.3,-71.43,-91.4,,-77.23,-69.48,-79.25,-91.49
-65.52,-76.54,-87.8,-98.03,,-68.64,-71.98,-72.58,-88.3,,-73.86,-67.92,-76.95,-91.81
-65.9,-74.58,-94.77,-94.25,,-72.09,-76.17,-84.06,-89.96,,-69.56,-69.34,-73.5,-96.26
-66.18,-72.23,-89.08,-97.22,,-81.95,-70.99,-63.15,-90.85,,-70.51,-92.06,-76.1,-92.78
-66.55,-77.8,-89.91,-100.74,,-68.12,-72.03,-67.53,-82.08,,-70.87,-91.62,-69.86,-86.15
-66.18,-75.54,-101.35,-92.99,,-68.72,-66.88,-66.23,-81.84,,-70.86,-77.48,-68.99,-84.19
-64.34,-75.97,-96.13,-97.41,,-69.51,-68.6,-66.19,-81.45,,-73.38,-73.86,-68.61,-86.53
-64.04,-73.9,-94.87,-95.77,,-70.24,-66.21,-67.34,-83.56,,-76.48,-76.22,-67.62,-82.65
-64.54,-72.53,-96.14,-97.69,,-72.86,-66.47,-67.05,-81.42,,-75.01,-75.4,-69.63,-86.29
-65.61,-73.81,-92.14,-95.6,,-77.25,-70.09,-68.79,-83.94,,-74.77,-77.39,-69.12,-86.39
-65.84,-75.39,-89.26,-90.99,,-78.44,-69.61,-66.66,-95.58,,-71.78,-76.43,-69.29,-84.78
-65.47,-73.91,-91.94,-96.11,,-76.02,-71.4,-65.94,-91.46,,-71.41,-74.31,-69.51,-80.3
-65.57,-76.16,-99.16,-95.07,,-77.03,-69.9,-65.76,-90.99,,-70.64,-73.96,-69.64,-80.41
-64.24,-70.15,-88.47,-95.08,,-81.08,-71.55,-67.01,-88.01,,-70.57,-71.88,-70.84,-81.79
